2022-23 Dropout Report (District) All Students,,,,,,,,
District Name,District Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12
Greater Lowell Regional Vocational Technical,08280000,"   2,282",       5,   0.2,   0.0,   0.0,   0.7,   0.2
Greater New Bedford Regional Vocational Technical,08250000,"   2,095",       5,   0.2,   0.4,   0.2,   0.2,   0.2
Greenfield,01140000,     342,      15,   4.4,   2.2,   5.0,   6.3,   4.2
Groton-Dunstable,06730000,     675,       2,   0.3,   0.0,   0.0,   0.0,   1.2
Hadley,01170000,     156,       1,   0.6,   3.2,   0.0,   0.0,   0.0
Hamilton-Wenham,06750000,     450,       1,   0.2,   0.0,   0.0,   0.0,   0.9
Hampden Charter School of Science East (District),04990000,     287,       3,   1.0,   1.3,   0.0,   0.0,   3.0
Hampden Charter School of Science West (District),35160000,     185,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Hampden-Wilbraham,06800000,     984,       7,   0.7,   0.4,   0.4,   1.7,   0.4
Hampshire,06830000,     404,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Hanover,01220000,     667,       2,   0.3,   0.0,   0.6,   0.0,   0.6
Harvard,01250000,     324,       1,   0.3,   0.0,   0.0,   1.2,   0.0
Hatfield,01270000,      82,       3,   3.7,   0.0,   5.6,   0.0,   8.3
Haverhill,01280000,"   1,999",      85,   4.3,   5.6,   3.2,   4.9,   2.8
Hingham,01310000,"   1,166",       6,   0.5,   0.3,   1.1,   0.3,   0.3
Holbrook,01330000,     302,       2,   0.7,   1.4,   1.4,   0.0,   0.0
Holliston,01360000,     806,       5,   0.6,   0.0,   0.0,   1.0,   1.5
Holyoke,01370000,"   1,515",      63,   4.2,   1.6,   2.7,   3.1,   9.0
Hoosac Valley Regional,06030000,     223,       3,   1.3,   0.0,   6.1,   0.0,   0.0
Hopedale,01380000,     275,       2,   0.7,   0.0,   1.4,   0.0,   1.5
Hopkinton,01390000,"   1,229",       1,   0.1,   0.0,   0.0,   0.0,   0.3
Hudson,01410000,     640,      13,   2.0,   0.6,   3.5,   3.2,   0.6
Hull,01420000,     241,       1,   0.4,   0.0,   0.0,   1.9,   0.0
Innovation Academy Charter (District),04350000,     391,       3,   0.8,   0.0,   1.9,   0.0,   1.2
Ipswich,01440000,     496,       5,   1.0,   0.9,   0.8,   1.5,   0.8
KIPP Academy Lynn Charter (District),04290000,     491,       2,   0.4,   1.6,   0.0,   0.0,   0.0
King Philip,06900000,"   1,136",      10,   0.9,   0.3,   0.7,   1.0,   1.5
Lawrence,01490000,"   3,452",     113,   3.3,   2.4,   3.3,   3.2,   4.2
Lee,01500000,     206,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Leicester,01510000,     414,       4,   1.0,   0.9,   1.1,   1.8,   0.0
Lenox,01520000,     245,       6,   2.4,   5.0,   3.4,   1.6,   0.0
Leominster,01530000,"   1,872",      17,   0.9,   0.4,   1.9,   0.7,   0.7
Lexington,01550000,"   2,303",       4,   0.2,   0.0,   0.0,   0.4,   0.3
Libertas Academy Charter School (District),35140000,     143,       6,   4.2,   4.2,   4.2,,
Lincoln-Sudbury,06950000,"   1,479",      11,   0.7,   2.4,   0.0,   0.6,   0.0
Littleton,01580000,     476,       2,   0.4,   1.6,   0.0,   0.0,   0.0
Longmeadow,01590000,     904,       2,   0.2,   0.0,   0.0,   0.4,   0.5
Lowell,01600000,"   3,272",     146,   4.5,   4.0,   5.5,   4.6,   3.7
Lowell Middlesex Academy Charter (District),04580000,      83,      17,  20.5,  30.8,  13.3,  27.3,  15.2
Ludlow,01610000,     794,      17,   2.1,   1.8,   4.0,   1.8,   1.0
Lunenburg,01620000,     440,       4,   0.9,   0.0,   1.9,   0.0,   2.0
Lynn,01630000,"   5,239",     290,   5.5,   4.7,   8.3,   4.0,   4.1
Lynnfield,01640000,     565,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Ma Academy for Math and Science,04680000,     100,       0,   0.0,,,   0.0,   0.0
Malden,01650000,"   1,844",      56,   3.0,   3.7,   1.8,   3.7,   2.9
Manchester Essex Regional,06980000,     416,       1,   0.2,   0.0,   0.0,   1.2,   0.0
Mansfield,01670000,"   1,086",       3,   0.3,   0.4,   0.8,   0.0,   0.0
Map Academy Charter School (District),35170000,     251,      27,  10.8,   5.6,  11.9,  10.2,  13.3
Marblehead,01680000,     877,       3,   0.3,   0.5,   0.4,   0.0,   0.4
Marlborough,01700000,"   1,060",      23,   2.2,   1.7,   0.7,   5.2,   1.4
Marshfield,01710000,"   1,187",       5,   0.4,   0.0,   0.3,   1.1,   0.3
Martha's Vineyard,07000000,     753,      28,   3.7,   1.9,   6.5,   3.8,   2.7
Martha's Vineyard Charter Public School (District),04660000,      38,       1,   2.6,   0.0,,   0.0,  11.1
Masconomet,07050000,     990,       3,   0.3,   0.0,   0.0,   0.4,   0.7
Mashpee,01720000,     417,       6,   1.4,   1.0,   1.7,   2.2,   0.9
Match Charter Public School (District),04690000,     290,       5,   1.7,   1.4,   1.3,   1.4,   2.9
Maynard,01740000,     315,       3,   1.0,   1.2,   1.1,   0.0,   1.3
Medfield,01750000,     740,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Medford,01760000,"   1,268",      24,   1.9,   0.6,   2.0,   4.6,   0.6
Medway,01770000,     613,       3,   0.5,   0.7,   1.2,   0.0,   0.0
Melrose,01780000,     921,       7,   0.8,   0.4,   0.0,   1.3,   1.3
Mendon-Upton,07100000,     595,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Methuen,01810000,"   1,911",      38,   2.0,   2.9,   1.0,   2.2,   2.0
Middleborough,01820000,     847,      12,   1.4,   1.2,   4.0,   0.5,   0.0
Milford,01850000,"   1,324",      55,   4.2,   2.9,   4.9,   5.1,   3.9
Millbury,01860000,     474,       9,   1.9,   0.9,   0.8,   2.6,   3.3
Millis,01870000,     313,       5,   1.6,   3.0,   0.0,   2.2,   1.4
Milton,01890000,"   1,055",       4,   0.4,   0.4,   1.1,   0.0,   0.0
Minuteman Regional Vocational Technical,08300000,     691,       2,   0.3,   0.0,   0.5,   0.6,   0.0
Mohawk Trail,07170000,     132,       4,   3.0,   5.3,   3.0,   0.0,   3.8
Monomoy Regional School District,07120000,     526,       2,   0.4,   0.7,   0.7,   0.0,   0.0
Monson,01910000,     153,       4,   2.6,   2.4,   3.1,   2.3,   2.8
Montachusett Regional Vocational Technical,08320000,"   1,409",       1,   0.1,   0.0,   0.0,   0.0,   0.3
Mount Greylock,07150000,     330,       3,   0.9,   0.0,   0.0,   0.0,   3.6
Mystic Valley Regional Charter (District),04700000,     355,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Nantucket,01970000,     582,       5,   0.9,   1.1,   0.7,   0.8,   0.7
Narragansett,07200000,     338,       3,   0.9,   0.9,   2.0,   0.0,   0.0
Nashoba,07250000,     824,       8,   1.0,   0.5,   0.5,   1.4,   1.5
Nashoba Valley Regional Vocational Technical,08520000,     750,       7,   0.9,   0.0,   0.0,   0.0,   4.3
Natick,01980000,"   1,589",       5,   0.3,   0.2,   0.0,   0.0,   1.0
Nauset,06600000,     776,       4,   0.5,   0.0,   0.5,   0.5,   1.0
Needham,01990000,"   1,645",       4,   0.2,   0.5,   0.2,   0.2,   0.0
Neighborhood House Charter (District),04440000,     282,       5,   1.8,   0.0,   1.2,   3.9,   2.0
New Bedford,02010000,"   3,075",     128,   4.2,   2.3,   6.1,   4.2,   3.9
New Heights Charter School of Brockton (District),35130000,     417,       5,   1.2,   3.5,   0.8,   0.0,   0.0
Newburyport,02040000,     816,       2,   0.2,   0.0,   0.0,   0.5,   0.5
Newton,02070000,"   3,895",      18,   0.5,   0.0,   0.4,   0.4,   1.0
Norfolk County Agricultural,09150000,     580,       0,   0.0,   0.0,   0.0,   0.0,   0.0
North Adams,02090000,     316,      14,   4.4,   4.8,   1.1,   5.6,   7.5
North Andover,02110000,"   1,336",       6,   0.4,   0.6,   0.3,   0.9,   0.0
North Attleborough,02120000,"   1,107",      14,   1.3,   2.2,   1.0,   1.0,   1.1
North Brookfield,02150000,      93,       7,   7.5,   4.2,   5.6,   0.0,  26.3
