2022-23 SAT Performance Report - All Students,,,,,
District Name,District Code,Tests Taken,Reading / Writing,Writing,Math
Tri-County Regional Vocational Technical,08780000,      74,538,,516
Triton,07730000,     113,574,,545
Tyngsborough,03010000,      85,563,,585
Upper Cape Cod Regional Vocational Technical,08790000,      35,537,,503
Uxbridge,03040000,      70,540,,535
Wachusett,07750000,     397,575,,565
Wakefield,03050000,     177,573,,549
Walpole,03070000,     242,579,,565
Waltham,03080000,     195,550,,538
Ware,03090000,      35,516,,531
Wareham,03100000,      32,578,,543
Watertown,03140000,     118,561,,574
Wayland,03150000,     207,643,,652
Webster,03160000,       9,,,
Wellesley,03170000,     330,645,,649
West Boylston,03220000,      50,563,,526
West Bridgewater,03230000,      63,568,,546
West Springfield,03320000,     105,568,,541
Westborough,03210000,     310,623,,638
Westfield,03250000,     103,552,,533
Westford,03260000,     446,622,,631
Weston,03300000,     132,656,,672
Westport,03310000,      44,562,,537
Westwood,03350000,     278,597,,597
Weymouth,03360000,     251,547,,528
Whitman-Hanson,07800000,     161,558,,537
Whittier Regional Vocational Technical,08850000,      47,539,,515
Wilmington,03420000,     146,580,,576
Winchendon,03430000,      36,474,,454
Winchester,03440000,     381,647,,656
Winthrop,03460000,      80,545,,552
Woburn,03470000,     161,562,,549
Worcester,03480000,"   1,496",451,,444
State Totals,00000000,"  46,582",560,,553
