"","City","Year","Median Price","Days on Market","One-Year % Change in Price","Five-Year % Change in Price","Ten-Year % Change in Price"
"333","Carver",2018,345000,54,NA,NA,NA
"334","Chelmsford",2018,447500,38,NA,NA,NA
"335","Chelsea",2018,450500,38,NA,NA,NA
"336","Chestnut Hill",2018,1315000,NA,NA,NA,NA
"337","Cohasset",2018,992500,95,NA,NA,NA
"338","Concord",2018,1041000,82,NA,NA,NA
"339","Danvers",2018,467000,33,NA,NA,NA
"340","Dedham",2018,517000,38,NA,NA,NA
"341","Dover",2018,1221000,129,NA,NA,NA
"342","Dracut",2018,360000,42,NA,NA,NA
"343","Dunstable",2018,572450,76,NA,NA,NA
"344","Duxbury",2018,680000,72,NA,NA,NA
"345","East Bridgewater",2018,372500,55,NA,NA,NA
"346","Easton",2018,447000,61,NA,NA,NA
"347","Essex",2018,551000,83,NA,NA,NA
"348","Everett",2018,445000,38,NA,NA,NA
"349","Foxborough",2018,450000,57,NA,NA,NA
"350","Framingham",2018,452000,28,NA,NA,NA
"351","Franklin",2018,464950,47,NA,NA,NA
"352","Georgetown",2018,459000,45,NA,NA,NA
"353","Gloucester",2018,449500,66,NA,NA,NA
"354","Groton",2018,530000,147,NA,NA,NA
"355","Groveland",2018,430000,56,NA,NA,NA
"356","Halifax",2018,349900,43,NA,NA,NA
"357","Hamilton",2018,602450,72,NA,NA,NA
"358","Hanover",2018,555000,67,NA,NA,NA
"359","Hanson",2018,372000,48,NA,NA,NA
"360","Harvard",2018,627500,110,NA,NA,NA
"361","Haverhill",2018,338000,43,NA,NA,NA
"362","Hingham",2018,820000,69,NA,NA,NA
"363","Holbrook",2018,339900,38,NA,NA,NA
"364","Holliston",2018,485000,46,NA,NA,NA
"365","Hopkinton",2018,675000,77,NA,NA,NA
"366","Hudson",2018,378000,42,NA,NA,NA
"367","Hull",2018,415000,62,NA,NA,NA
"368","Ipswich",2018,540250,67,NA,NA,NA
"369","Kingston",2018,430000,70,NA,NA,NA
"370","Lakeville",2018,373000,54,NA,NA,NA
"371","Lawrence",2018,280000,40,NA,NA,NA
"372","Lexington",2018,1150000,37,NA,NA,NA
"373","Lincoln",2018,1250000,98,NA,NA,NA
"374","Littleton",2018,570250,63,NA,NA,NA
"375","Lowell",2018,300000,36,NA,NA,NA
"376","Lynn",2018,350000,39,NA,NA,NA
"377","Lynnfield",2018,665000,52,NA,NA,NA
"378","Malden",2018,492000,25,NA,NA,NA
"379","Manchester-by-the-Sea",2018,924000,116,NA,NA,NA
"380","Mansfield",2018,450000,47,NA,NA,NA
"381","Marblehead",2018,689500,63,NA,NA,NA
"382","Marlborough",2018,391000,35,NA,NA,NA
"383","Marshfield",2018,450000,62,NA,NA,NA
"384","Maynard",2018,382100,36,NA,NA,NA
"385","Medfield",2018,651000,53,NA,NA,NA
"386","Medford",2018,617000,24,NA,NA,NA
"387","Medway",2018,449000,54,NA,NA,NA
"388","Melrose",2018,650000,24,NA,NA,NA
"389","Merrimac",2018,410000,56,NA,NA,NA
"390","Methuen",2018,360000,45,NA,NA,NA
"391","Middleboro",2018,324950,56,NA,NA,NA
"392","Middleton",2018,627500,47,NA,NA,NA
"393","Milford",2018,349450,42,NA,NA,NA
"394","Millis",2018,420000,44,NA,NA,NA
"395","Milton",2018,707500,56,NA,NA,NA
"396","Nahant",2018,580000,111,NA,NA,NA
"397","Natick",2018,625000,40,NA,NA,NA
"398","Needham",2018,1078000,44,NA,NA,NA
"399","Newbury",2018,530000,87,NA,NA,NA
"400","Newburyport",2018,612450,63,NA,NA,NA
"401","Newton",2018,1205000,50,NA,NA,NA
"402","Norfolk",2018,570000,53,NA,NA,NA
"403","North Andover",2018,590000,57,NA,NA,NA
"404","North Attleboro",2018,380000,64,NA,NA,NA
