2023-24 (March) Attendance (District)  - All Students,,,,,,,
District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Chronically Absent (20% or more),Unexcused > 9 days
Dracut,00790000,  93.6,   7.0,  23.0,  17.8,   4.1,  20.3
Dudley Street Neighborhood Charter School (District),04070000,  95.2,   4.7,  16.6,  16.6,   2.4,   0.0
Dudley-Charlton Reg,06580000,  94.5,   6.2,  18.4,  12.7,   2.9,  10.6
Duxbury,00820000,  95.4,   5.0,  12.2,   7.3,   0.8,   3.3
East Bridgewater,00830000,  94.5,   6.2,  18.8,  12.7,   2.0,  12.8
East Longmeadow,00870000,  95.6,   4.9,  12.1,   7.2,   1.2,   0.0
Eastham,00850000,  93.1,   7.3,  28.6,  27.5,   3.3,   9.9
Easthampton,00860000,  93.7,   6.8,  22.8,  19.8,   3.2,   0.1
Easton,00880000,  94.6,   6.0,  17.8,  12.2,   1.6,  12.7
Edgartown,00890000,  92.8,   7.5,  29.1,  24.4,   3.0,   0.0
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,  87.9,  12.6,  48.2,  45.3,  17.8,  33.2
Erving,00910000,  93.4,   7.2,  28.6,  23.0,   5.6,   0.0
Essex North Shore Agricultural and Technical School District,08170000,  94.6,   5.9,  17.0,  10.9,   2.7,   4.5
Everett,00930000,  90.0,  10.6,  40.3,  34.6,  12.1,  31.2
Excel Academy Charter (District),04100000,  92.9,   8.1,  27.8,  21.1,   5.1,   3.7
Fairhaven,00940000,  93.8,   6.9,  21.7,  16.1,   4.1,  10.8
Fall River,00950000,  90.8,   9.9,  36.5,  30.2,   9.3,  20.8
Falmouth,00960000,  92.4,   8.3,  29.0,  25.2,   5.9,  18.3
Farmington River Reg,06620000,  93.6,   7.1,  28.0,  18.9,   2.3,   2.3
Fitchburg,00970000,  91.2,   9.0,  35.3,  33.9,   9.1,  18.7
Florida,00980000,  94.7,   6.0,  18.4,  11.5,   1.1,   0.0
Four Rivers Charter Public (District),04130000,  91.9,   9.0,  26.5,  21.9,   5.5,  17.8
Foxborough,00990000,  94.3,   6.3,  18.3,  13.0,   2.1,   0.0
Foxborough Regional Charter (District),04460000,  94.8,   5.6,  17.2,  14.3,   2.3,  12.3
Framingham,01000000,  90.9,   9.8,  34.5,  29.5,  10.9,  20.2
Francis W. Parker Charter Essential (District),04780000,  93.0,   7.5,  24.1,  17.1,   5.8,   0.5
Franklin,01010000,  94.7,   5.8,  15.6,  11.5,   2.5,   8.3
Franklin County Regional Vocational Technical,08180000,  94.3,   6.5,  20.7,  14.3,   3.8,   0.5
Freetown-Lakeville,06650000,  94.3,   6.2,  17.7,  12.3,   2.7,  11.2
Frontier,06700000,  92.5,   8.4,  26.7,  21.2,   6.5,   0.0
Gardner,01030000,  91.4,   9.1,  33.7,  28.2,   9.1,   0.6
Gateway,06720000,  91.9,   9.0,  32.6,  24.8,   6.7,   1.7
Georgetown,01050000,  94.7,   5.8,  16.2,  12.1,   2.3,   0.9
Gill-Montague,06740000,  92.2,   8.4,  29.4,  25.0,   7.8,  14.6
Global Learning Charter Public (District),04960000,  96.3,   4.0,   6.9,   5.3,   1.4,   5.7
Gloucester,01070000,  92.5,   8.3,  28.3,  21.4,   6.0,  27.2
Grafton,01100000,  94.0,   6.6,  19.8,  14.7,   3.8,   1.1
Granby,01110000,  95.3,   5.3,  10.9,   7.5,   3.2,   5.2
Greater Commonwealth Virtual District,39010000,  85.8,  14.2,  28.8,  31.0,  19.6,   2.1
Greater Fall River Regional Vocational Technical,08210000,  95.2,   5.4,  15.5,  10.5,   1.9,   3.1
Greater Lawrence Regional Vocational Technical,08230000,  94.5,   6.0,  20.1,  16.8,   2.7,  20.1
Greater Lowell Regional Vocational Technical,08280000,  95.0,   5.7,  16.4,  11.0,   2.0,   3.3
Greater New Bedford Regional Vocational Technical,08250000,  95.9,   4.6,  12.1,   8.8,   1.8,   3.7
Greenfield,01140000,  91.2,   9.5,  32.9,  28.1,   9.3,   0.0
Groton-Dunstable,06730000,  95.0,   5.6,  14.5,   9.4,   1.8,   6.9
Hadley,01170000,  94.2,   6.3,  19.5,  15.0,   3.6,   3.6
Halifax,01180000,  94.8,   5.8,  17.8,  11.0,   0.9,  16.4
Hamilton-Wenham,06750000,  95.3,   5.2,  13.3,   7.9,   1.1,   2.5
Hampden Charter School of Science East (District),04990000,  93.3,   7.6,  30.0,  22.6,   3.4,   0.0
Hampden Charter School of Science West (District),35160000,  93.5,   7.3,  23.9,  19.2,   6.2,   0.0
Hampden-Wilbraham,06800000,  94.7,   5.8,  16.0,  11.3,   2.2,  12.9
Hampshire,06830000,  94.0,   6.7,  18.8,  13.7,   3.6,   0.0
Hancock,01210000,  94.4,   6.3,  19.0,  12.1,   3.4,   0.0
Hanover,01220000,  94.8,   5.8,  15.2,   9.7,   1.9,   8.3
Harvard,01250000,  94.6,   6.0,  17.7,  11.3,   2.1,   0.0
Hatfield,01270000,  93.9,   6.7,  18.8,  13.8,   2.4,   0.0
Haverhill,01280000,  90.8,  10.2,  37.7,  31.2,  10.4,  30.0
Hawlemont,06850000,  95.1,   5.5,  16.4,   9.0,   0.0,   4.5
Helen Y. Davis Leadership Academy Charter Public (District),04190000,  91.2,   9.9,  35.8,  32.6,   7.4,   0.0
Hill View Montessori Charter Public (District),04550000,  94.4,   6.3,  18.1,  14.8,   1.9,   6.5
Hilltown Cooperative Charter Public (District),04500000,  94.3,   6.2,  14.2,  10.0,   2.3,  12.8
Hingham,01310000,  95.3,   5.2,  12.6,   7.7,   1.3,   4.1
Holbrook,01330000,  94.5,   6.1,  17.9,  13.2,   3.0,   7.5
Holland,01350000,  93.8,   6.7,  20.9,  17.4,   0.9,   0.0
Holliston,01360000,  94.2,   6.5,  20.4,  14.4,   2.9,   0.0
