2023 Graduation Rate (District) All Students 4-Year Graduation Rate,,,,,,,,
District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded
Baystate Academy Charter Public School (District),35020000,        54,    87.0,     1.9,     0.0,     0.0,     9.3,     1.9
Bedford,00230000,       203,    98.0,     1.0,     0.0,     0.5,     0.5,     0.0
Belchertown,00240000,       184,    91.8,     3.8,     0.0,     0.0,     4.3,     0.0
Bellingham,00250000,       131,    91.6,     3.1,     0.0,     0.0,     5.3,     0.0
Belmont,00260000,       328,    95.4,     3.7,     0.0,     0.0,     0.9,     0.0
Berkshire Arts and Technology Charter Public (District),04140000,        31,    90.3,     3.2,     0.0,     0.0,     6.5,     0.0
Berkshire Hills,06180000,       121,    90.1,     5.0,     0.0,     0.0,     5.0,     0.0
Berlin-Boylston,06200000,        68,    91.2,     1.5,     0.0,     0.0,     7.4,     0.0
Beverly,00300000,       327,    93.3,     4.0,     0.6,     0.0,     2.1,     0.0
Billerica,00310000,       297,    92.6,     4.7,     0.0,     0.7,     2.0,     0.0
Blackstone Valley Regional Vocational Technical,08050000,       294,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Blackstone-Millville,06220000,       103,    89.3,     0.0,     2.9,     1.0,     6.8,     0.0
Blue Hills Regional Vocational Technical,08060000,       208,    99.0,     0.5,     0.0,     0.0,     0.5,     0.0
Boston,00350000,"     3,767",    80.5,    10.9,     0.2,     0.1,     8.3,     0.0
Boston Collegiate Charter (District),04490000,        75,    92.0,     6.7,     0.0,     0.0,     1.3,     0.0
Boston Day and Evening Academy Charter (District),04240000,        87,     8.0,    56.3,     1.1,     0.0,    34.5,     0.0
Boston Green Academy Horace Mann Charter School (District),04110000,        63,    88.9,     7.9,     3.2,     0.0,     0.0,     0.0
Boston Preparatory Charter Public (District),04160000,        70,    94.3,     4.3,     1.4,     0.0,     0.0,     0.0
Bourne,00360000,        94,    91.5,     2.1,     0.0,     1.1,     5.3,     0.0
Braintree,00400000,       418,    94.5,     2.4,     1.0,     0.2,     1.9,     0.0
Bridgewater-Raynham,06250000,       333,    93.4,     3.3,     0.6,     0.0,     2.4,     0.3
Bristol County Agricultural,09100000,       104,    98.1,     0.0,     0.0,     0.0,     1.9,     0.0
Bristol-Plymouth Regional Vocational Technical,08100000,       324,    96.0,     0.6,     0.0,     0.0,     3.4,     0.0
Brockton,00440000,"     1,203",    74.2,     9.8,     3.5,     0.0,    12.5,     0.0
Brooke Charter School (District),04280000,       101,    94.1,     3.0,     0.0,     0.0,     3.0,     0.0
Brookline,00460000,       486,    95.9,     2.5,     0.0,     0.0,     1.6,     0.0
Burlington,00480000,       230,    94.8,     3.9,     0.0,     0.0,     1.3,     0.0
Cambridge,00490000,       485,    91.5,     7.4,     0.0,     0.2,     0.8,     0.0
Canton,00500000,       222,    94.6,     3.6,     0.0,     0.0,     1.4,     0.5
Cape Cod Regional Vocational Technical,08150000,       155,    97.4,     0.6,     0.0,     0.0,     1.9,     0.0
Carver,00520000,        95,    91.6,     2.1,     1.1,     0.0,     5.3,     0.0
Central Berkshire,06350000,       117,    94.0,     2.6,     0.0,     0.0,     3.4,     0.0
Chelmsford,00560000,       324,    94.4,     2.8,     0.0,     0.3,     2.5,     0.0
Chelsea,00570000,       434,    64.1,    18.2,     2.8,     0.0,    15.0,     0.0
Chicopee,00610000,       503,    86.9,     2.2,     1.8,     0.6,     8.5,     0.0
City on a Hill Charter Public School (District),04370000,        38,    63.2,    13.2,     0.0,     0.0,    23.7,     0.0
Clinton,00640000,       126,    89.7,     2.4,     0.0,     0.8,     7.1,     0.0
Codman Academy Charter Public (District),04380000,        30,    86.7,     3.3,     0.0,     0.0,    10.0,     0.0
Cohasset,00650000,       117,    97.4,     0.9,     0.0,     0.0,     1.7,     0.0
Collegiate Charter School of Lowell (District),35030000,        38,    71.1,     2.6,     2.6,     0.0,    23.7,     0.0
Community Charter School of Cambridge (District),04360000,        29,    96.6,     3.4,     0.0,     0.0,     0.0,     0.0
Concord-Carlisle,06400000,       347,    97.4,     2.3,     0.0,     0.0,     0.3,     0.0
Danvers,00710000,       206,    93.7,     1.9,     0.5,     0.0,     3.9,     0.0
Dartmouth,00720000,       249,    92.4,     2.0,     0.4,     0.0,     5.2,     0.0
Dedham,00730000,       183,    90.7,     6.0,     0.0,     0.0,     3.3,     0.0
Dennis-Yarmouth,06450000,       166,    86.7,     6.0,     2.4,     0.0,     4.8,     0.0
Dighton-Rehoboth,06500000,       170,    89.4,     3.5,     1.2,     0.0,     5.9,     0.0
Douglas,00770000,        86,    94.2,     4.7,     0.0,     0.0,     1.2,     0.0
Dover-Sherborn,06550000,       157,    97.5,     2.5,     0.0,     0.0,     0.0,     0.0
Dracut,00790000,       212,    87.3,     5.2,     0.9,     0.0,     6.6,     0.0
Dudley-Charlton Reg,06580000,       231,    89.2,     2.2,     0.4,     0.9,     7.4,     0.0
Duxbury,00820000,       231,    98.3,     1.7,     0.0,     0.0,     0.0,     0.0
East Bridgewater,00830000,       159,    97.5,     1.3,     0.0,     0.0,     1.3,     0.0
East Longmeadow,00870000,       222,    95.9,     2.7,     0.0,     0.5,     0.9,     0.0
Easthampton,00860000,        98,    91.8,     2.0,     0.0,     0.0,     6.1,     0.0
Easton,00880000,       282,    95.7,     2.5,     0.0,     0.0,     1.8,     0.0
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),04520000,        86,    96.5,     1.2,     0.0,     0.0,     2.3,     0.0
Essex North Shore Agricultural and Technical School District,08170000,       402,    97.5,     0.5,     0.0,     0.5,     1.5,     0.0
Everett,00930000,       534,    77.7,     6.2,     2.4,     0.0,    13.7,     0.0
Excel Academy Charter (District),04100000,       162,    99.4,     0.0,     0.0,     0.0,     0.6,     0.0
Fairhaven,00940000,       172,    93.0,     1.7,     0.0,     0.0,     5.2,     0.0
Fall River,00950000,       697,    74.5,     3.9,     4.3,     0.1,    17.2,     0.0
Falmouth,00960000,       218,    88.5,     2.3,     0.0,     2.3,     6.9,     0.0
Fitchburg,00970000,       436,    87.4,     6.0,     1.1,     0.0,     5.5,     0.0
Four Rivers Charter Public (District),04130000,        37,    91.9,     2.7,     0.0,     0.0,     5.4,     0.0
Foxborough,00990000,       185,    97.8,     1.1,     0.0,     0.0,     1.1,     0.0
Foxborough Regional Charter (District),04460000,        86,    98.8,     0.0,     0.0,     0.0,     1.2,     0.0
Framingham,01000000,       696,    75.0,     4.7,     5.7,     0.0,    14.5,     0.0
Francis W. Parker Charter Essential (District),04780000,        61,    98.4,     0.0,     0.0,     0.0,     1.6,     0.0
Franklin,01010000,       435,    97.5,     1.8,     0.2,     0.2,     0.2,     0.0
Franklin County Regional Vocational Technical,08180000,       131,    92.4,     0.0,     0.0,     0.8,     6.9,     0.0
Freetown-Lakeville,06650000,       191,    95.8,     2.1,     1.0,     0.0,     1.0,     0.0
Frontier,06700000,        92,    92.4,     3.3,     1.1,     1.1,     2.2,     0.0
Gardner,01030000,       178,    88.8,     6.2,     0.0,     0.0,     5.1,     0.0
Gateway,06720000,        43,    95.3,     0.0,     0.0,     0.0,     4.7,     0.0
Georgetown,01050000,        81,    95.1,     1.2,     0.0,     0.0,     2.5,     1.2
Gill-Montague,06740000,        42,    76.2,     9.5,     2.4,     0.0,    11.9,     0.0
Global Learning Charter Public (District),04960000,        44,    97.7,     0.0,     0.0,     0.0,     2.3,     0.0
Gloucester,01070000,       212,    83.0,     7.5,     1.4,     0.0,     8.0,     0.0
Grafton,01100000,       228,    97.8,     0.9,     0.4,     0.4,     0.4,     0.0
Granby,01110000,        58,    94.8,     1.7,     0.0,     0.0,     3.4,     0.0
Greater Commonwealth Virtual District,39010000,       203,    56.7,    17.7,     0.5,     1.5,    23.6,     0.0
Greater Fall River Regional Vocational Technical,08210000,       321,    97.5,     0.3,     0.3,     0.0,     1.9,     0.0
Greater Lawrence Regional Vocational Technical,08230000,       402,    99.8,     0.0,     0.2,     0.0,     0.0,     0.0
Greater Lowell Regional Vocational Technical,08280000,       537,    97.0,     1.5,     0.2,     0.0,     1.3,     0.0
Greater New Bedford Regional Vocational Technical,08250000,       465,    95.7,     1.7,     0.0,     0.0,     1.7,     0.9
Greenfield,01140000,        92,    73.9,    10.9,     0.0,     0.0,    15.2,     0.0
Groton-Dunstable,06730000,       171,    98.2,     1.2,     0.0,     0.0,     0.6,     0.0
Hadley,01170000,        39,    94.9,     2.6,     0.0,     0.0,     2.6,     0.0
Hamilton-Wenham,06750000,       134,    92.5,     3.0,     0.0,     0.0,     4.5,     0.0
Hampden Charter School of Science East (District),04990000,        70,    91.4,     1.4,     0.0,     0.0,     7.1,     0.0
Hampden Charter School of Science West (District),35160000,        24,    95.8,     0.0,     0.0,     0.0,     4.2,     0.0
Hampden-Wilbraham,06800000,       235,    94.5,     0.9,     1.3,     0.0,     3.4,     0.0
Hampshire,06830000,       103,    97.1,     1.0,     0.0,     0.0,     1.9,     0.0
Hanover,01220000,       166,    98.8,     0.0,     0.0,     0.0,     1.2,     0.0
Harvard,01250000,        79,    94.9,     5.1,     0.0,     0.0,     0.0,     0.0
Hatfield,01270000,        26,    92.3,     0.0,     0.0,     0.0,     7.7,     0.0
Haverhill,01280000,       476,    79.2,    11.8,     1.3,     0.0,     7.8,     0.0
Hingham,01310000,       323,    96.6,     2.8,     0.0,     0.3,     0.3,     0.0
Holbrook,01330000,        88,    89.8,     4.5,     0.0,     0.0,     5.7,     0.0
Holliston,01360000,       206,    94.2,     2.9,     0.0,     0.0,     2.9,     0.0
Holyoke,01370000,       394,    74.6,     9.9,     2.3,     0.0,    13.2,     0.0
Hoosac Valley Regional,06030000,        53,    88.7,     3.8,     0.0,     0.0,     7.5,     0.0
Hopedale,01380000,        71,    87.3,     7.0,     1.4,     0.0,     4.2,     0.0
Hopkinton,01390000,       316,    97.8,     1.6,     0.3,     0.0,     0.3,     0.0
Hudson,01410000,       175,    87.4,     5.1,     0.0,     0.0,     7.4,     0.0
Hull,01420000,        66,    92.4,     3.0,     0.0,     0.0,     4.5,     0.0
Innovation Academy Charter (District),04350000,        87,    89.7,     6.9,     0.0,     0.0,     3.4,     0.0
Ipswich,01440000,       126,    94.4,     1.6,     0.0,     0.0,     4.0,     0.0
King Philip,06900000,       279,    94.3,     2.5,     0.0,     0.0,     3.2,     0.0
KIPP Academy Lynn Charter (District),04290000,       111,    95.5,     1.8,     0.9,     0.0,     1.8,     0.0
Lawrence,01490000,       919,    72.7,     9.9,     4.9,     0.2,    12.3,     0.0
Lee,01500000,        59,    98.3,     1.7,     0.0,     0.0,     0.0,     0.0
Leicester,01510000,       104,    90.4,     1.9,     0.0,     0.0,     7.7,     0.0
Lenox,01520000,        62,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Leominster,01530000,       470,    90.6,     3.6,     2.8,     0.0,     3.0,     0.0
Lexington,01550000,       586,    97.6,     2.0,     0.0,     0.0,     0.3,     0.0
Lincoln-Sudbury,06950000,       365,    95.9,     3.3,     0.0,     0.3,     0.5,     0.0
Littleton,01580000,       113,    95.6,     1.8,     0.0,     0.0,     2.7,     0.0
Longmeadow,01590000,       219,    96.3,     1.4,     0.0,     0.0,     2.3,     0.0
Lowell,01600000,       774,    73.5,     9.6,     3.6,     0.3,    13.0,     0.0
Lowell Middlesex Academy Charter (District),04580000,        31,    64.5,    29.0,     0.0,     0.0,     6.5,     0.0
Ludlow,01610000,       210,    90.0,     3.3,     1.4,     0.0,     5.2,     0.0
Lunenburg,01620000,        96,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Lynn,01630000,"     1,290",    78.1,     4.0,     3.8,     0.2,    14.0,     0.0
Lynnfield,01640000,       137,    97.1,     2.9,     0.0,     0.0,     0.0,     0.0
Ma Academy for Math and Science,04680000,        50,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Malden,01650000,       466,    83.9,     6.0,     1.3,     0.2,     8.6,     0.0
Manchester Essex Regional,06980000,       125,    98.4,     1.6,     0.0,     0.0,     0.0,     0.0
Mansfield,01670000,       301,    95.0,     4.7,     0.0,     0.0,     0.3,     0.0
Map Academy Charter School (District),35170000,        67,    17.9,    76.1,     0.0,     0.0,     6.0,     0.0
Marblehead,01680000,       229,    97.4,     2.2,     0.0,     0.0,     0.4,     0.0
Marlborough,01700000,       312,    84.3,     3.2,     1.3,     0.0,    11.2,     0.0
Marshfield,01710000,       317,    95.0,     1.9,     0.3,     0.0,     2.8,     0.0
Martha's Vineyard,07000000,       188,    88.8,     3.2,     1.1,     0.0,     6.9,     0.0
Martha's Vineyard Charter Public School (District),04660000,         9,    77.8,     0.0,     0.0,     0.0,    22.2,     0.0
Masconomet,07050000,       282,    95.4,     2.8,     0.0,     0.7,     1.1,     0.0
Mashpee,01720000,       120,    95.0,     3.3,     0.0,     0.0,     1.7,     0.0
Match Charter Public School (District),04690000,        64,    90.6,     6.3,     1.6,     0.0,     1.6,     0.0
Maynard,01740000,        79,    89.9,     5.1,     1.3,     0.0,     3.8,     0.0
Medfield,01750000,       200,    98.5,     0.5,     0.5,     0.0,     0.5,     0.0
Medford,01760000,       337,    90.8,     2.1,     0.6,     0.3,     6.2,     0.0
Medway,01770000,       167,    96.4,     3.6,     0.0,     0.0,     0.0,     0.0
Melrose,01780000,       227,    96.9,     1.8,     0.0,     0.0,     1.3,     0.0
Mendon-Upton,07100000,       145,    97.2,     1.4,     0.0,     0.0,     1.4,     0.0
Methuen,01810000,       503,    90.3,     4.4,     2.6,     0.0,     2.8,     0.0
Middleborough,01820000,       206,    94.7,     1.9,     0.0,     0.0,     3.4,     0.0
Milford,01850000,       372,    75.3,     7.3,     1.6,     0.3,    15.6,     0.0
Millbury,01860000,       135,    90.4,     3.0,     0.0,     0.0,     6.7,     0.0
Millis,01870000,        77,    90.9,     3.9,     0.0,     0.0,     5.2,     0.0
Milton,01890000,       275,    96.4,     2.9,     0.0,     0.0,     0.7,     0.0
Minuteman Regional Vocational Technical,08300000,       159,    91.8,     3.1,     0.0,     0.6,     3.8,     0.6
Mohawk Trail,07170000,        30,    83.3,     3.3,     3.3,     0.0,    10.0,     0.0
Monomoy Regional School District,07120000,       132,    90.9,     6.1,     0.0,     0.0,     3.0,     0.0
Monson,01910000,        41,    82.9,     4.9,     7.3,     0.0,     4.9,     0.0
Montachusett Regional Vocational Technical,08320000,       322,    96.6,     2.2,     0.0,     0.3,     0.9,     0.0
Mount Greylock,07150000,        85,    95.3,     1.2,     0.0,     0.0,     3.5,     0.0
Mystic Valley Regional Charter (District),04700000,        72,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Nantucket,01970000,       148,    95.9,     0.0,     0.7,     0.0,     3.4,     0.0
Narragansett,07200000,        66,    90.9,     4.5,     0.0,     0.0,     4.5,     0.0
Nashoba,07250000,       204,    94.1,     2.5,     0.5,     0.0,     2.9,     0.0
Nashoba Valley Regional Vocational Technical,08520000,       164,    97.0,     1.2,     0.0,     0.0,     1.8,     0.0
Natick,01980000,       391,    95.9,     2.6,     0.3,     0.0,     1.3,     0.0
Nauset,06600000,       206,    94.7,     2.9,     0.0,     0.5,     1.9,     0.0
Needham,01990000,       381,    98.7,     1.3,     0.0,     0.0,     0.0,     0.0
Neighborhood House Charter (District),04440000,        61,    82.0,     8.2,     0.0,     0.0,     9.8,     0.0
New Bedford,02010000,       765,    78.6,     3.0,     1.8,     0.4,    16.2,     0.0
New Heights Charter School of Brockton (District),35130000,        86,    89.5,     1.2,     3.5,     0.0,     5.8,     0.0
Newburyport,02040000,       217,    95.9,     2.8,     0.0,     0.5,     0.9,     0.0
Newton,02070000,       997,    96.1,     3.0,     0.0,     0.0,     0.9,     0.0
Norfolk County Agricultural,09150000,       133,    99.2,     0.8,     0.0,     0.0,     0.0,     0.0
North Adams,02090000,        84,    72.6,     6.0,     1.2,     0.0,    20.2,     0.0
North Andover,02110000,       312,    96.5,     2.6,     0.0,     0.0,     1.0,     0.0
North Attleborough,02120000,       273,    91.6,     4.8,     1.5,     0.0,     2.2,     0.0
North Brookfield,02150000,        21,    66.7,     9.5,     4.8,     4.8,    14.3,     0.0
North Middlesex,07350000,       181,    95.0,     3.3,     0.0,     0.0,     1.7,     0.0
North Reading,02170000,       181,    95.0,     4.4,     0.0,     0.0,     0.6,     0.0
Northampton,02100000,       247,    94.7,     2.8,     0.0,     0.0,     2.4,     0.0
Northampton-Smith Vocational Agricultural,04060000,       139,    92.1,     0.7,     0.0,     0.7,     6.5,     0.0
Northboro-Southboro,07300000,       321,    97.2,     2.2,     0.0,     0.0,     0.6,     0.0
Northbridge,02140000,       140,    88.6,     2.1,     0.7,     1.4,     6.4,     0.7
Northeast Metropolitan Regional Vocational Technical,08530000,       287,    97.9,     0.0,     0.0,     0.0,     1.7,     0.3
Northern Berkshire Regional Vocational Technical,08510000,       125,    98.4,     0.0,     0.0,     0.0,     1.6,     0.0
Norton,02180000,       173,    92.5,     1.2,     0.0,     0.0,     6.4,     0.0
Norwell,02190000,       153,    98.0,     1.3,     0.0,     0.0,     0.7,     0.0
Norwood,02200000,       272,    93.8,     2.9,     0.7,     0.4,     2.2,     0.0
Old Colony Regional Vocational Technical,08550000,       142,    98.6,     0.0,     0.0,     0.7,     0.7,     0.0
Old Rochester,07400000,       166,    98.8,     1.2,     0.0,     0.0,     0.0,     0.0
Oxford,02260000,        94,    80.9,     6.4,     1.1,     0.0,    11.7,     0.0
Palmer,02270000,        76,    84.2,     3.9,     1.3,     1.3,     9.2,     0.0
Pathfinder Regional Vocational Technical,08600000,       129,    91.5,     5.4,     0.0,     0.0,     3.1,     0.0
Paulo Freire Social Justice Charter School (District),35010000,        66,    68.2,     4.5,     4.5,     3.0,    19.7,     0.0
Peabody,02290000,       410,    82.7,     9.8,     1.2,     0.2,     5.9,     0.2
Pembroke,02310000,       201,    95.0,     3.5,     0.0,     0.5,     1.0,     0.0
Pentucket,07450000,       165,    94.5,     1.8,     1.8,     0.0,     1.8,     0.0
"Phoenix Academy Charter Public High School, Chelsea (District)",04930000,        47,     4.3,    40.4,     0.0,     0.0,    55.3,     0.0
"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,        24,    20.8,    25.0,     0.0,     0.0,    54.2,     0.0
"Phoenix Academy Public Charter High School, Springfield (District)",35080000,        52,     9.6,    42.3,     0.0,     0.0,    48.1,     0.0
Pioneer Charter School of Science (District),04940000,        43,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Pioneer Charter School of Science II (District),35060000,        47,    97.9,     2.1,     0.0,     0.0,     0.0,     0.0
Pioneer Valley,07500000,        52,    92.3,     5.8,     1.9,     0.0,     0.0,     0.0
Pioneer Valley Chinese Immersion Charter (District),04970000,        19,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Pioneer Valley Performing Arts Charter Public (District),04790000,        59,    96.6,     1.7,     0.0,     0.0,     1.7,     0.0
Pittsfield,02360000,       387,    83.7,     5.9,     0.0,     1.6,     8.8,     0.0
Plymouth,02390000,       559,    95.2,     0.5,     0.5,     0.4,     3.4,     0.0
Prospect Hill Academy Charter (District),04870000,        65,    95.4,     3.1,     0.0,     0.0,     1.5,     0.0
Quabbin,07530000,       141,    83.0,     6.4,     0.7,     0.0,     9.9,     0.0
Quaboag Regional,07780000,       104,    88.5,     2.9,     1.9,     0.0,     6.7,     0.0
Quincy,02430000,       768,    92.8,     3.1,     2.0,     0.0,     2.1,     0.0
Ralph C Mahar,07550000,        94,    78.7,     6.4,     0.0,     0.0,    14.9,     0.0
Randolph,02440000,       141,    76.6,    13.5,     1.4,     0.7,     7.8,     0.0
Reading,02460000,       302,    97.0,     2.0,     0.0,     0.0,     1.0,     0.0
Revere,02480000,       520,    82.3,     7.7,     1.7,     0.0,     8.3,     0.0
Rising Tide Charter Public (District),04830000,        64,    98.4,     1.6,     0.0,     0.0,     0.0,     0.0
Rockland,02510000,       139,    92.8,     2.2,     0.0,     0.0,     5.0,     0.0
Rockport,02520000,        64,    93.8,     1.6,     0.0,     0.0,     4.7,     0.0
Roxbury Preparatory Charter (District),04840000,       122,    82.8,     7.4,     3.3,     1.6,     4.9,     0.0
Salem,02580000,       248,    80.6,     9.7,     1.2,     0.0,     8.5,     0.0
Salem Academy Charter (District),04850000,        67,    95.5,     4.5,     0.0,     0.0,     0.0,     0.0
Sandwich,02610000,       164,    97.0,     0.6,     0.0,     0.0,     2.4,     0.0
Saugus,02620000,       194,    87.1,     4.6,     1.0,     0.5,     6.7,     0.0
Scituate,02640000,       194,    95.4,     2.6,     0.0,     0.5,     1.5,     0.0
Seekonk,02650000,       139,    95.7,     1.4,     0.0,     0.0,     2.9,     0.0
Sharon,02660000,       289,    97.2,     2.4,     0.0,     0.0,     0.3,     0.0
Shawsheen Valley Regional Vocational Technical,08710000,       282,    99.3,     0.4,     0.0,     0.0,     0.4,     0.0
Shrewsbury,02710000,       462,    93.9,     3.9,     0.0,     0.0,     2.2,     0.0
Silver Lake,07600000,       264,    96.2,     2.7,     0.0,     0.0,     1.1,     0.0
Sizer School: A North Central Charter Essential (District),04740000,        41,    90.2,     2.4,     0.0,     0.0,     7.3,     0.0
Somerset Berkley Regional School District,07630000,       237,    95.4,     0.8,     0.4,     0.0,     3.4,     0.0
Somerville,02740000,       311,    85.9,     4.2,     1.9,     0.0,     8.0,     0.0
South Hadley,02780000,       132,    93.9,     0.8,     0.0,     0.0,     5.3,     0.0
South Middlesex Regional Vocational Technical,08290000,       187,    90.9,     1.6,     2.1,     0.0,     5.3,     0.0
South Shore Charter Public (District),04880000,        78,    96.2,     2.6,     0.0,     0.0,     1.3,     0.0
South Shore Regional Vocational Technical,08730000,       156,    97.4,     0.0,     0.0,     0.0,     2.6,     0.0
Southbridge,02770000,       128,    66.4,     5.5,     7.0,     0.8,    20.3,     0.0
Southeastern Regional Vocational Technical,08720000,       367,    97.8,     0.8,     0.0,     0.0,     1.4,     0.0
Southern Berkshire,07650000,        51,    90.2,     5.9,     0.0,     2.0,     2.0,     0.0
Southern Worcester County Regional Vocational School District,08760000,       270,    98.1,     0.4,     0.0,     0.0,     1.5,     0.0
Southwick-Tolland-Granville Regional School District,07660000,       100,    91.0,     2.0,     2.0,     2.0,     3.0,     0.0
Spencer-E Brookfield,07670000,        84,    79.8,     6.0,     2.4,     0.0,    11.9,     0.0
Springfield,02810000,"     1,769",    83.1,     6.8,     1.6,     0.2,     8.3,     0.0
Springfield International Charter (District),04410000,        84,    96.4,     1.2,     0.0,     0.0,     2.4,     0.0
Stoneham,02840000,       152,    92.8,     3.3,     0.0,     0.0,     3.9,     0.0
Stoughton,02850000,       239,    90.0,     4.6,     0.0,     0.0,     5.4,     0.0
Sturgis Charter Public (District),04890000,       208,    98.6,     0.5,     0.0,     0.5,     0.5,     0.0
Sutton,02900000,        91,    96.7,     3.3,     0.0,     0.0,     0.0,     0.0
Swampscott,02910000,       162,    92.0,     4.3,     0.6,     0.0,     3.1,     0.0
Swansea,02920000,       119,    89.1,     4.2,     0.8,     0.0,     5.9,     0.0
Tantasqua,07700000,       294,    91.8,     3.1,     0.0,     0.0,     5.1,     0.0
Taunton,02930000,       545,    89.7,     4.4,     0.7,     0.4,     4.8,     0.0
TEC Connections Academy Commonwealth Virtual School District,39020000,       542,    52.2,    15.9,     1.3,     1.7,    29.0,     0.0
Tewksbury,02950000,       205,    94.1,     2.9,     0.0,     0.0,     2.9,     0.0
Tri-County Regional Vocational Technical,08780000,       211,    98.6,     0.5,     0.0,     0.0,     0.9,     0.0
Triton,07730000,       185,    91.4,     3.2,     0.5,     0.0,     4.9,     0.0
Tyngsborough,03010000,       111,    92.8,     4.5,     0.9,     0.0,     1.8,     0.0
Upper Cape Cod Regional Vocational Technical,08790000,       156,    97.4,     0.0,     0.0,     0.0,     2.6,     0.0
Uxbridge,03040000,       144,    80.6,    10.4,     2.1,     0.7,     6.3,     0.0
Wachusett,07750000,       499,    93.4,     4.2,     0.0,     0.4,     2.0,     0.0
Wakefield,03050000,       207,    96.1,     2.4,     0.5,     0.0,     1.0,     0.0
Walpole,03070000,       260,    92.3,     6.2,     0.0,     0.0,     1.5,     0.0
Waltham,03080000,       438,    79.7,     3.9,     4.1,     0.0,    12.3,     0.0
Ware,03090000,        64,    76.6,    12.5,     0.0,     0.0,    10.9,     0.0
Wareham,03100000,       120,    79.2,     7.5,     0.0,     0.8,    12.5,     0.0
Watertown,03140000,       172,    84.9,     7.0,     1.2,     0.0,     7.0,     0.0
Wayland,03150000,       188,    99.5,     0.5,     0.0,     0.0,     0.0,     0.0
Webster,03160000,       103,    70.9,     6.8,     3.9,     0.0,    18.4,     0.0
Wellesley,03170000,       362,    96.7,     3.0,     0.3,     0.0,     0.0,     0.0
West Boylston,03220000,        64,    93.8,     1.6,     1.6,     0.0,     3.1,     0.0
West Bridgewater,03230000,       103,    95.1,     1.0,     0.0,     1.0,     2.9,     0.0
West Springfield,03320000,       297,    90.9,     4.0,     0.0,     0.0,     5.1,     0.0
Westborough,03210000,       271,    94.1,     2.6,     0.0,     0.0,     3.3,     0.0
Westfield,03250000,       386,    90.9,     4.4,     0.8,     0.0,     3.9,     0.0
Westford,03260000,       431,    96.8,     1.6,     0.7,     0.0,     0.9,     0.0
Weston,03300000,       159,    95.0,     4.4,     0.0,     0.0,     0.6,     0.0
Westport,03310000,        72,    88.9,     5.6,     0.0,     1.4,     4.2,     0.0
Westwood,03350000,       249,    98.4,     1.6,     0.0,     0.0,     0.0,     0.0
Weymouth,03360000,       446,    88.3,     4.3,     0.0,     0.0,     7.2,     0.2
