Location,All Summary Offenses,Criminal Homicide,Murder and Nonnegligent Homicide,Manslaughter by Negligence,Forcible Rape Total,Rape by Force,Attempts to commit Forcible Rape,Robbery Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Strong-Arm (Hands, Fists, Feet, Etc.)",Assault Total,Aggravated Assault Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Hands, Fists, Feet, Etc. - Aggravated injury","Other Assaults - Simple, Not Aggravated",Burglary Total,Forcible Entry,Unlawful Entry - No Force,Attempted Forcible Entry,Larceny - Theft Total,Motor Vehicle Theft Total,Autos,Trucks and Buses,Other Vehicles,Arson,Human Trafficking - Commercial Sex Act,Human Trafficking - Involuntary Servitude,Year
Methuen,18.23,0.04,0.02,0.02,0.02,0.02,,0.22,0.1,0.04,0.02,0.06,7.08,1.62,0.28,0.26,0.77,0.32,5.46,1.16,0.67,0.45,0.04,8.77,0.95,0.91,,0.04,,,,2019
MBTA - Essex County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
East Longmeadow,17.7,0.06,0.06,,0.37,0.37,,0.37,0.12,0.06,0.06,0.12,6.02,0.68,0.06,0.06,0.49,0.06,5.35,1.72,0.8,0.74,0.18,8.3,0.74,0.74,,,0.12,,,2019
Hampshire County,18.13,0.02,0.01,0.01,0.58,0.56,0.02,0.14,0.02,0.01,0,0.11,7.01,1.91,0.09,0.36,0.77,0.69,5.11,1.56,0.74,0.72,0.1,8.21,0.52,0.48,0.01,0.03,0.09,0,0,2019
Northampton,29.93,0.03,0.03,,0.87,0.87,,0.31,,,,0.31,12.88,2.89,,0.73,1.43,0.73,9.99,1.84,0.73,1.08,0.03,13.09,0.7,0.7,,,0.21,,,2019
Cambridge,26.35,0.01,0.01,,0.22,0.22,,0.56,0.05,0.06,0.21,0.24,8.94,2,0.22,0.45,0.98,0.35,6.94,1.34,0.5,0.73,0.11,14.39,0.82,0.7,0.03,0.08,0.07,0.01,,2019
Framingham,19.47,0.01,0.01,,0.29,0.29,,0.4,0.08,0.11,0.01,0.19,7.77,3.36,0.15,0.72,1.15,1.34,4.4,2.16,0.56,0.74,0.86,8.37,0.45,0.41,0.01,0.03,0.03,,,2019
Groton,5.09,0.09,0.09,,0.44,0.44,,,,,,,2.55,0.18,,,,0.18,2.37,0.35,0.18,0.18,,1.67,,,,,,,,2019
Lexington,4.2,0.03,0.03,,0.12,0.12,,,,,,,1.3,0.41,,0.03,0.12,0.27,0.89,0.24,0.12,0.12,,2.51,,,,,,,,2019
Malden,19.84,0.02,0.02,,0.15,0.15,,0.43,0.03,0.1,0.07,0.23,7.39,2.07,0.21,0.38,1.12,0.36,5.32,1.7,0.81,0.87,0.02,8.59,1.56,1.25,0.07,0.25,,,,2019
Tewksbury,19.86,0.03,0.03,,0.73,0.73,,0.22,,0.03,0.03,0.16,7.76,1.62,0.06,0.32,0.92,0.32,6.14,0.6,0.35,0.13,0.13,9.87,0.57,0.51,0.03,0.03,0.03,0.03,,2019
Brookline,11.15,0.02,0.02,,0.03,0.03,,0.24,,,0.22,0.02,2.1,0.68,,0.1,0.54,0.03,1.43,0.76,0.53,0.03,0.2,7.89,0.1,0.1,,,,,,2019
Plainville,9.05,0.11,0.11,,,,,,,,,,1.94,0.54,,,0.54,,1.4,1.08,0.75,0.22,0.11,5.6,0.32,0.32,,,,,,2019
Quincy,22.98,0.01,0.01,,0.33,0.33,,0.65,0.17,0.03,0.11,0.34,9.71,3,0.05,0.36,1.31,1.28,6.72,2.3,1.28,0.82,0.2,9.38,0.58,0.48,0.02,0.09,0.02,,,2019
Randolph,23.12,0.03,0.03,,0.17,0.17,,0.29,0.15,0.06,,0.09,10.7,1.89,0.47,0.44,0.58,0.41,8.81,2.01,1.89,0.12,,8.93,0.96,0.73,,0.23,0.03,,,2019
Stoughton,19.16,0.03,0.03,,0.31,0.31,,0.24,0.07,0.03,,0.14,8.67,1.42,0.21,0.24,0.93,0.03,7.25,1.14,0.69,0.35,0.1,7.98,0.76,0.66,0.1,,0.03,,,2019
Wareham,29.83,0.04,0.04,,1.02,1.02,,0.4,0.09,0.09,0.09,0.13,14.12,5.67,0.13,0.97,3.01,1.55,8.45,2.26,1.42,0.62,0.22,11.11,0.89,0.84,0.04,,,,,2019
