Location,All Summary Offenses,Criminal Homicide,Murder and Nonnegligent Homicide,Manslaughter by Negligence,Forcible Rape Total,Rape by Force,Attempts to commit Forcible Rape,Robbery Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Strong-Arm (Hands, Fists, Feet, Etc.)",Assault Total,Aggravated Assault Total,Firearm,Knife or Cutting Instrument,Other Dangerous Weapon,"Hands, Fists, Feet, Etc. - Aggravated injury","Other Assaults - Simple, Not Aggravated",Burglary Total,Forcible Entry,Unlawful Entry - No Force,Attempted Forcible Entry,Larceny - Theft Total,Motor Vehicle Theft Total,Autos,Trucks and Buses,Other Vehicles,Arson,Human Trafficking - Commercial Sex Act,Human Trafficking - Involuntary Servitude,Year
Brewster,106,,,,4,4,,,,,,,64,21,,7,13,1,43,9,4,4,1,28,1,1,,,,,,2019
Chatham,98,,,,2,2,,1,,1,,,36,5,1,2,2,,31,12,3,7,2,47,,,,,,,,2019
Dennis,409,,,,17,17,,1,,1,,,197,70,6,8,37,19,127,45,20,22,3,144,5,3,1,1,,,,2019
Eastham,62,,,,2,2,,,,,,,22,3,,,3,,19,2,1,1,,35,1,1,,,,,,2019
Falmouth,834,,,,16,16,,5,2,1,,2,451,88,5,13,47,23,363,113,50,53,10,232,14,13,1,,3,,,2019
Harwich,189,,,,2,2,,1,,,1,,81,19,,2,7,10,62,26,11,13,2,73,5,5,,,1,,,2019
Mashpee,235,,,,6,6,,,,,,,96,34,2,9,14,9,62,17,5,8,4,104,12,12,,,,,,2019
Orleans,77,,,,1,1,,,,,,,25,4,,2,2,,21,6,4,2,,45,,,,,,,,2019
Provincetown,121,,,,2,2,,1,,,,1,67,13,1,2,7,3,54,8,6,2,,41,2,1,1,,,,,2019
Sandwich,231,,,,5,5,,1,,1,,,126,34,,2,32,,92,16,4,5,7,79,2,2,,,2,,,2019
Truro,24,,,,1,1,,,,,,,18,4,,1,3,,14,,,,,5,,,,,,,,2019
Wellfleet,36,,,,,,,,,,,,11,,,,,,11,6,3,3,,19,,,,,,,,2019
Yarmouth,500,,,,19,19,,3,,1,1,1,241,74,2,11,25,36,167,38,20,15,3,190,5,5,,,,1,3,2019
Cape Cod Community College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
MBTA - Barnstable County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Barnstable State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Barnstable State Police Middleboro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2019
Adams,177,,,,10,10,,2,,1,,1,68,14,2,6,6,,54,34,18,15,1,60,1,1,,,2,,,2019
Alford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Becket,18,,,,,,,,,,,,14,3,,1,1,1,11,1,1,,,3,,,,,,,,2019
Cheshire,13,,,,,,,,,,,,9,2,,1,1,,7,1,1,,,2,1,0,1,,,,,2019
Clarksburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Dalton,55,,,,1,1,,,,,,,31,5,,,2,3,26,8,3,5,,12,2,2,,,1,,,2019
Egremont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Great Barrington,66,,,,2,2,,1,1,,,,34,8,,2,3,3,26,5,,4,1,23,,,,,1,,,2019
Hancock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Hinsdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Lanesboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Lee,105,,,,3,3,,,,,,,37,7,,2,3,2,30,5,1,4,,58,2,2,,,,,,2019
Lenox,93,,,,2,2,,,,,,,20,5,,2,3,,15,11,5,4,2,59,1,1,,,,,,2019
Monterey,5,,,,,,,,,,,,1,,,,,,1,2,1,1,,1,1,1,,,,,,2019
Mount Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
New Ashford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
New Marlboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
North Adams,619,,,,13,13,,9,,4,1,4,196,50,2,15,12,21,146,89,48,39,2,301,11,9,1,1,,,,2019
Otis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Sandisfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Savoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Sheffield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Stockbridge,30,,,,,,,,,,,,6,1,,,,1,5,4,1,3,,19,1,1,,,,,,2019
Tyringham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
West Stockbridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Williamstown,93,,,,4,4,,,,,,,18,2,,,2,,16,3,2,1,,66,2,2,,,,,,2019
Windsor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
MA College of Liberal Arts,12,,,,2,2,,,,,,,1,,,,,,1,,,,,9,,,,,,,,2019
MBTA - Berkshire County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Berkshire State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Berkshire State Police Weston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Berkshire State Police Northampton,76,0,0,0,0,0,0,0,0,0,0,0,44,1,0,0,0,1,43,9,5,4,0,20,3,2,1,0,,0,0,2019
Acushnet,90,,,,5,5,,,,,,,50,7,,,4,3,43,14,9,5,,19,2,2,,,,,,2019
Attleboro,940,,,,28,27,1,14,5,2,1,6,371,82,2,20,51,9,289,69,33,26,10,430,26,23,2,1,1,1,,2019
Berkley,40,,,,2,2,,,,,,,18,6,,,3,3,12,9,5,1,3,9,1,1,,,,1,,2019
Dartmouth,837,,,,4,4,,16,2,4,2,8,300,57,2,12,30,13,243,40,20,15,5,458,18,16,1,1,1,,,2019
Dighton,62,,,,1,1,,,,,,,32,9,,1,7,1,23,5,4,1,,14,10,9,1,,,,,2019
Easton,253,1,,1,9,9,,3,,1,1,1,92,31,,3,10,18,61,24,17,6,1,111,11,10,1,,2,,,2019
Fairhaven,442,,,,11,11,,2,1,1,,,214,38,1,9,17,11,176,29,13,14,2,179,7,6,1,,,,,2019
Freetown,135,,,,5,5,,2,,,,2,76,8,,,4,4,68,16,13,2,1,28,7,4,1,2,1,,,2019
Mansfield,367,,,,11,11,,5,1,,1,3,181,49,6,5,17,21,132,15,5,8,2,147,8,7,1,,,,,2019
Norton,45,,,,3,3,,,,,,,28,20,,1,11,8,8,7,3,4,,5,1,1,,,1,,,2019
Raynham,281,,,,4,4,,4,,2,,2,62,20,3,5,6,6,42,12,7,5,,184,15,14,,1,,,,2019
Rehoboth,87,,,,,,,1,1,,,,40,7,,2,5,,33,16,5,6,5,26,4,3,1,,,,,2019
Seekonk,309,1,,1,1,1,,3,1,1,,1,58,23,,2,14,7,35,27,11,14,2,207,11,10,1,,1,,,2019
Somerset,322,,,,3,3,,4,2,1,,1,184,36,1,7,15,13,148,8,6,2,,115,8,6,1,1,,,,2019
Swansea,263,,,,5,5,,1,1,,,,139,28,1,4,20,3,111,17,7,8,2,97,4,4,,,,,,2019
Westport,199,,,,4,4,,,,,,,78,19,,2,17,,59,27,12,13,2,79,10,9,1,,1,,,2019
U-Mass Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Stonehill College,13,0,0,0,1,1,0,0,0,0,0,0,3,2,0,0,0,2,1,0,0,0,0,9,0,0,0,0,,0,0,2019
Bristol Comm College,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,,0,0,2019
Wheaton College,42,,,,,,,,,,,,13,,,,,,13,2,1,1,,27,,,,,,,,2019
Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
MBTA - Bristol County,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,,,,2019
Bristol State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Bristol State Police Framingham,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,0,0,2019
Bristol State Police Middleboro,14,0,0,0,0,0,0,1,1,0,0,0,10,10,0,1,2,7,0,0,0,0,0,0,3,3,0,0,,0,0,2019
Dukes County,359,0,0,0,8,8,0,2,0,0,1,1,169,78,0,2,26,50,91,28,8,20,0,137,14,11,2,1,1,0,0,2019
Chilmark,10,,,,,,,,,,,,4,3,,,1,2,1,,,,,6,,,,,,,,2019
Edgartown,107,,,,3,3,,1,,,,1,43,16,,,5,11,27,9,3,6,,47,4,3,1,,,,,2019
Aquinnah,2,,,,,,,,,,,,2,2,,1,,1,,,,,,,,,,,,,,2019
Gosnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Oak Bluffs,121,,,,1,1,,1,,,1,,55,24,,,9,15,31,11,4,7,,49,4,3,,1,,,,2019
Tisbury,91,,,,3,3,,,,,,,55,27,,,9,18,28,6,1,5,,24,2,1,1,,1,,,2019
West Tisbury,28,,,,1,1,,,,,,,10,6,,1,2,3,4,2,,2,,11,4,4,,,,,,2019
MBTA - Dukes County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Dukes State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Dukes State Police Middleboro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2019
Amesbury,235,,,,3,3,,3,3,,,,96,19,,4,10,5,77,18,7,7,4,108,7,6,,1,,,,2019
North Shore CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Andover,301,,,,6,5,1,,,,,,80,1,,,1,,79,29,13,11,5,179,7,7,,,,,,2019
Beverly,314,,,,6,6,,2,,1,,1,98,41,2,2,26,11,57,19,6,11,2,177,10,9,,1,1,1,,2019
Boxford,15,,,,,,,,,,,,2,,,,,,2,2,1,1,,11,,,,,,,,2019
Danvers,643,,,,2,2,,4,2,,,2,274,34,3,3,15,13,240,26,11,9,6,317,16,11,4,1,3,,1,2019
Essex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Georgetown,63,,,,,,,,,,,,30,2,1,1,,,28,5,,4,1,27,1,1,,,,,,2019
Gloucester,396,,,,8,8,,1,,1,,,223,50,,6,17,27,173,21,11,10,,130,13,13,,,,,,2019
Hamilton,33,,,,,,,,,,,,7,1,,,1,,6,4,1,,3,19,3,3,,,,,,2019
Ipswich,96,,,,8,8,,2,,,1,1,40,9,,1,4,4,31,6,2,2,2,33,7,7,,,,,,2019
Lynnfield,114,,,,,,,,,,,,37,2,,,2,,35,8,6,2,,68,1,1,,,,,,2019
Manchester-by-the-sea,32,,,,,,,,,,,,8,2,,,,2,6,4,1,3,,19,1,,,1,,,,2019
Marblehead,176,,,,7,7,,,,,,,51,15,3,2,3,7,36,10,4,6,,103,5,4,,1,,,,2019
Merrimac,35,,,,0,0,,,,,,,20,2,,,2,,18,5,2,3,,9,1,1,,,,,,2019
Middleton,60,,,,,,,,,,,,19,5,,,3,2,14,3,3,,,35,3,2,,1,,,,2019
Nahant,28,,,,1,1,,,,,,,15,11,,,3,8,4,2,,2,,9,1,1,,,,,,2019
Newbury,65,,,,1,1,,,,,,,35,10,,,5,5,25,8,5,2,1,21,,,,,,,,2019
Newburyport,241,,,,5,5,,,,,,,108,18,,,9,9,90,13,4,6,3,113,2,2,,,,,,2019
North Andover,240,,,,5,5,,3,2,1,,,68,10,2,,6,2,58,14,8,5,1,140,10,10,,,,,,2019
Peabody,806,,,,21,21,,8,1,2,1,4,337,94,,13,40,41,243,55,19,23,13,353,30,27,2,1,2,,,2019
Rockport,49,,,,2,2,,1,,,,1,30,4,,,3,1,26,4,2,2,,11,1,1,,,,,,2019
Rowley,43,,,,1,1,,,,,,,16,5,,1,2,2,11,4,1,3,,21,1,1,,,,,,2019
Salem,"1,525",,,,14,14,,21,,3,2,16,753,73,7,23,25,18,680,87,42,36,9,598,46,40,,6,6,,,2019
Salisbury,177,,,,5,5,,,,,,,98,12,,3,6,3,86,25,9,11,5,44,5,4,,1,0,,,2019
Saugus,556,,,,9,9,,10,2,3,2,3,170,54,5,10,25,14,116,29,14,13,2,309,28,27,,1,1,,,2019
Swampscott,155,,,,1,1,,1,,,,1,40,6,,,5,1,34,12,5,7,,100,1,1,,,,,,2019
Topsfield,24,,,,1,1,,,,,,,13,4,,,4,,9,2,,2,,7,1,1,,,,,,2019
Wenham,18,,,,,,,,,,,,10,,,,,,10,1,,1,,6,1,1,,,,,,2019
West Newbury,29,,,,2,2,,,,,,,14,6,,2,,4,8,2,1,1,,11,,,,,,,,2019
Salem State University,32,,,,,,,,,,,,5,1,,,,1,4,2,,2,,24,,,,,1,,,2019
Merrimack College,48,0,0,0,1,0,1,0,0,0,0,0,21,7,0,0,0,7,14,5,0,3,2,21,0,0,0,0,,0,0,2019
North Shore CC,12,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,3,0,0,0,0,8,0,0,0,0,,0,0,2019
Endicott College,25,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0,7,0,0,0,0,17,0,0,0,0,,,,2019
Northern Essex Community College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Gordon College,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,,0,0,2019
Salem State College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
North Shore Community College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Essex State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Essex State Police Framingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Franklin County,"1,136",0,0,0,26,26,0,16,5,1,2,8,424,138,6,17,57,58,286,157,95,55,7,484,27,22,2,3,2,0,0,2019
Ashfield,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2019
Bernardston,25,,,,3,3,,,,,,,10,2,,,1,1,8,3,1,1,1,9,,,,,,,,2019
Buckland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Charlemont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Colrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Conway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Deerfield,68,,,,2,2,,,,,,,22,3,,,3,,19,15,9,6,,27,1,1,,,1,,,2019
Erving,29,,,,,,,,,,,,14,,,,,,14,5,2,2,1,9,1,1,,,,,,2019
Gill,10,,,,,,,,,,,,,,,,,,,1,1,,,9,,,,,,,,2019
Greenfield,547,,,,11,11,,10,2,1,2,5,180,63,4,7,31,21,117,84,57,27,,252,10,9,1,,,,,2019
Hawley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Heath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Leverett,6,,,,,,,,,,,,1,1,,1,,,,3,1,1,1,1,1,1,,,,,,2019
Leyden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Montague,171,,,,4,4,,4,3,,,1,79,41,,1,12,28,38,18,9,9,,64,2,,,2,,,,2019
New Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Northfield,21,,,,,,,,,,,,11,,,,,,11,1,1,,,9,,,,,,,,2019
Orange,152,,,,4,4,,2,,,,2,52,17,2,7,7,1,35,17,9,8,,72,4,3,,1,1,,,2019
Rowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Shelburne,19,,,,,,,,,,,,9,2,,,1,1,7,3,1,,2,7,,,,,,,,2019
Shutesbury,4,,,,,,,,,,,,3,2,,,2,,1,,,,,1,,,,,,,,2019
Sunderland,43,,,,2,2,,,,,,,20,2,,1,,1,18,5,4,1,,13,3,3,,,,,,2019
Warwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Wendell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Whately,21,,,,,,,,,,,,4,1,,,,1,3,2,,,2,10,5,4,1,,,,,2019
Greenfield CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
MBTA - Franklin County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Franklin State Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Franklin State Police Holden,8,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,3,5,0,0,0,0,0,0,0,0,0,,0,0,2019
Franklin State Police Northampton,11,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,,0,0,2019
Agawam,714,,,,13,13,,8,5,,1,2,313,62,1,6,31,24,251,133,55,66,12,231,15,14,1,,1,,,2019
Blandford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Western New England Coll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Brimfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Chester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Granville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Hampden,30,,,,,,,,,,,,8,1,,,,1,7,7,5,2,,14,1,1,,,,,,2019
Holland,16,,,,2,2,,,,,,,5,,,,,,5,1,1,,,5,3,3,,,,,,2019
Longmeadow,168,,,,3,3,,,,,,,44,7,,1,5,1,37,28,12,12,4,82,10,9,,1,1,,,2019
Ludlow,377,,,,5,5,,4,3,,,1,165,54,3,7,25,19,111,37,29,5,3,146,20,19,1,,0,,,2019
Monson,140,,,,4,4,,,,,,,92,23,1,2,16,4,69,12,6,4,2,24,8,5,3,,,,,2019
Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
