Town,Town Code,Local Public Schools,Academic Regional Schools,Vocational Technical Regional Schools,Collaboratives,Charter Schools,Out-of-District Public Schools,Home Schooled,In State Private and Parochial Schools,Out-of-state Private and Parochial Schools,Total,Total Public,% Public,End of School Year
Leverett,1540000,95,79,7,0,8,13,7,11,0,220,202,91.8,2022
Lexington,1550000,6716,0,66,34,2,25,35,799,34,7711,6843,88.7,2022
Leyden (non-op),1560000,0,10,0,0,0,10,6,12,0,38,20,52.6,2022
Lincoln,1570000,427,168,3,2,0,3,12,83,0,698,603,86.4,2022
Littleton,1580000,1510,0,42,12,51,23,14,48,0,1700,1638,96.4,2022
Longmeadow,1590000,2654,0,1,8,12,3,26,165,43,2912,2678,92.0,2022
Lowell,1600000,13577,0,1739,50,1058,179,110,870,10,17593,16603,94.4,2022
Ludlow,1610000,2215,0,10,2,16,61,39,198,2,2543,2304,90.60000000000001,2022
Lunenburg,1620000,1561,0,90,0,28,77,77,83,0,1916,1756,91.7,2022
Lynn,1630000,14509,0,0,67,1708,254,62,1081,0,17681,16538,93.5,2022
Lynnfield,1640000,2096,0,41,5,0,7,24,197,2,2372,2149,90.60000000000001,2022
Malden,1650000,6073,0,166,34,702,41,57,328,0,7401,7016,94.8,2022
Manchester (non-op),1660000,0,670,13,3,0,5,8,156,9,864,691,80.0,2022
Mansfield,1670000,3346,0,93,16,84,18,53,248,27,3885,3557,91.60000000000001,2022
Marblehead,1680000,2457,0,34,6,113,7,33,481,3,3134,2617,83.5,2022
Marion,1690000,383,305,24,4,0,2,7,81,2,808,718,88.9,2022
Marlborough,1700000,4711,0,443,18,496,135,69,226,0,6098,5803,95.2,2022
Marshfield,1710000,3686,0,10,15,25,22,39,200,0,3997,3758,94.0,2022
Mashpee,1720000,1404,0,47,14,56,72,28,73,1,1695,1593,94.0,2022
Mattapoisett,1730000,399,349,51,3,0,4,10,52,1,869,806,92.8,2022
Maynard,1740000,1134,0,65,8,73,81,30,34,0,1425,1361,95.5,2022
Medfield,1750000,2485,0,11,1,6,7,14,186,0,2710,2510,92.60000000000001,2022
Medford,1760000,3929,0,0,12,463,70,82,491,0,5047,4474,88.7,2022
Medway,1770000,0,0,71,6,17,37,29,54,5,219,131,59.800000000000004,2022
Melrose,1780000,3608,0,64,16,240,9,30,391,1,4359,3937,90.3,2022
Mendon (non-op),1790000,0,875,78,1,5,31,10,74,12,1086,990,91.2,2022
Merrimac (non-op),1800000,0,752,57,4,8,19,17,26,0,883,840,95.10000000000001,2022
Methuen,1810000,6303,0,368,125,167,69,109,595,33,7769,7032,90.5,2022
Middleborough,1820000,2977,0,171,23,52,126,107,5,0,3461,3349,96.8,2022
Middlefield (non-op),1830000,0,12,0,0,0,6,4,0,0,22,18,81.8,2022
Middleton,1840000,654,550,49,4,3,6,13,77,0,1356,1266,93.4,2022
Milford,1850000,4158,0,157,28,114,238,59,139,11,4904,4695,95.7,2022
Millbury,1860000,1588,0,103,6,2,50,36,64,0,1849,1749,94.60000000000001,2022
Millis,1870000,1127,0,51,5,5,39,18,69,0,1314,1227,93.4,2022
Millville (non-op),1880000,0,23,37,0,23,0,7,15,0,105,83,79.10000000000001,2022
Milton,1890000,4231,0,38,8,7,10,18,956,1,5269,4294,81.5,2022
Monroe (non-op),1900000,0,0,3,0,0,22,0,0,0,25,25,100.0,2022
Monson,1910000,726,0,71,3,40,46,44,23,0,953,886,93.0,2022
Montague (non-op),1920000,0,592,91,0,57,213,61,32,12,1058,953,90.10000000000001,2022
Monterey (non-op),1930000,0,48,0,0,0,39,6,6,0,99,87,87.9,2022
Montgomery (non-op),1940000,0,49,0,0,0,13,12,7,0,81,62,76.5,2022
Mount Washington (non-op),1950000,0,0,0,0,0,5,0,0,0,5,5,100.0,2022
Nahant,1960000,128,0,11,0,9,91,0,39,0,278,239,86.0,2022
Nantucket,1970000,1635,0,0,0,0,0,6,194,0,1835,1635,89.10000000000001,2022
Natick,1980000,5153,0,58,21,25,57,34,441,1,5790,5314,91.8,2022
Needham,1990000,5216,0,31,13,4,20,18,1241,3,6546,5284,80.7,2022
New Ashford (non-op),2000000,0,0,1,0,0,19,0,0,0,20,20,100.0,2022
New Bedford,2010000,10894,0,1471,40,1430,312,161,834,3,15145,14147,93.4,2022
New Braintree (non-op),2020000,0,111,9,0,0,5,6,5,0,136,125,91.9,2022
New Marlborough (non-op),2050000,0,81,0,0,0,30,4,14,0,129,111,86.10000000000001,2022
New Salem (non-op),2060000,0,67,13,0,0,10,10,4,0,104,90,86.5,2022
Newbury (non-op),2030000,0,590,18,0,19,35,9,108,0,779,662,85.0,2022
Newburyport,2040000,2062,0,35,0,131,37,23,225,15,2528,2265,89.60000000000001,2022
Newton,2070000,11249,0,7,6,0,30,76,2795,16,14179,11292,79.60000000000001,2022
Norfolk,2080000,972,611,39,7,15,19,30,131,16,1840,1663,90.4,2022
North Adams,2090000,1086,0,162,0,67,140,54,53,0,1562,1455,93.2,2022
North Andover,2110000,0,0,53,9,9,26,40,620,5,762,97,12.700000000000001,2022
North Attleborough,2120000,3822,0,251,7,136,59,57,431,37,4800,4275,89.10000000000001,2022
North Brookfield,2150000,449,0,37,2,15,156,32,9,2,702,659,93.9,2022
North Reading,2170000,2266,0,39,11,2,8,14,141,1,2482,2326,93.7,2022
Northampton,2100000,2340,0,0,4,168,203,88,355,2,3160,2715,85.9,2022
Northborough,2130000,1558,769,63,4,8,16,47,191,3,2659,2418,90.9,2022
Northbridge,2140000,1791,0,150,8,5,173,81,243,0,2451,2127,86.8,2022
Northfield (non-op),2160000,0,113,30,2,12,17,26,26,4,230,174,75.7,2022
Norton,2180000,2083,0,103,13,69,32,52,93,5,2450,2300,93.9,2022
Norwell,2190000,2121,0,29,5,15,11,12,199,3,2395,2181,91.10000000000001,2022
Norwood,2200000,3346,0,103,14,68,50,40,400,0,4021,3581,89.10000000000001,2022
Oak Bluffs,2210000,385,207,0,0,40,25,13,10,0,680,657,96.60000000000001,2022
Oakham (non-op),2220000,0,214,13,1,1,4,32,5,0,270,233,86.3,2022
Orange,2230000,467,359,86,5,10,112,52,0,0,1091,1039,95.2,2022
Orleans,2240000,162,223,13,1,33,11,30,3,0,476,443,93.10000000000001,2022
Otis (non-op),2250000,0,102,3,0,0,0,7,1,0,113,105,92.9,2022
Oxford,2260000,1391,0,142,7,31,94,47,100,18,1830,1665,91.0,2022
Palmer,2270000,1131,0,181,0,24,110,59,44,2,1551,1446,93.2,2022
Paxton (non-op),2280000,0,605,28,1,5,20,15,27,1,702,659,93.9,2022
Peabody,2290000,5461,0,351,35,87,79,54,687,2,6756,6013,89.0,2022
Pelham,2300000,60,56,0,0,2,12,3,4,0,137,130,94.9,2022
Pembroke,2310000,2478,0,0,11,63,107,37,131,0,2827,2659,94.10000000000001,2022
Pepperell (non-op),2320000,0,1388,121,14,19,30,80,33,38,1723,1572,91.2,2022
Peru (non-op),2330000,0,82,10,0,1,0,3,2,0,98,93,94.9,2022
Petersham,2340000,58,35,9,1,2,34,12,4,0,155,139,89.7,2022
Phillipston (non-op),2350000,0,162,21,2,3,13,21,11,0,233,201,86.3,2022
Pittsfield,2360000,4901,0,0,0,178,563,89,149,13,5893,5642,95.7,2022
Plainfield (non-op),2370000,0,37,5,0,2,13,4,1,2,64,57,89.10000000000001,2022
Plainville,2380000,594,497,84,7,61,4,27,87,18,1379,1247,90.4,2022
Plymouth,2390000,6927,0,0,40,473,103,149,233,1,7926,7543,95.2,2022
Plympton,2400000,239,173,0,3,12,12,6,11,0,456,439,96.3,2022
Princeton (non-op),2410000,0,413,28,0,0,6,23,23,0,493,447,90.7,2022
Provincetown,2420000,70,0,10,0,0,21,0,0,0,101,101,100.0,2022
Quincy,2430000,9233,0,0,66,56,52,77,776,1,10261,9407,91.7,2022
Randolph,2440000,2522,0,285,29,432,120,22,514,0,3924,3388,86.3,2022
Raynham (non-op),2450000,0,2200,202,5,12,293,31,77,0,2820,2712,96.2,2022
Reading,2460000,9,0,36,0,0,0,24,293,0,362,45,12.4,2022
Rehoboth (non-op),2470000,0,1444,70,1,0,39,41,71,161,1827,1554,85.10000000000001,2022
Revere,2480000,7074,0,256,124,527,40,22,398,0,8441,8021,95.0,2022
Richmond,2490000,68,0,0,0,1,45,2,7,0,123,114,92.7,2022
Rochester,2500000,484,330,105,0,0,1,15,29,3,967,920,95.10000000000001,2022
Rockland,2510000,2106,0,152,27,104,85,47,158,0,2679,2474,92.4,2022
Rockport,2520000,540,0,15,7,0,35,13,48,0,658,597,90.7,2022
Rowe,2530000,18,0,7,0,0,15,0,0,0,40,40,100.0,2022
Rowley (non-op),2540000,0,635,33,0,0,11,16,70,0,765,679,88.8,2022
Royalston (non-op),2550000,0,96,8,1,0,24,8,5,5,147,129,87.8,2022
Russell (non-op),2560000,0,161,0,0,0,45,23,10,0,239,206,86.2,2022
Rutland (non-op),2570000,0,1513,62,2,6,19,33,49,0,1684,1602,95.10000000000001,2022
Salem,2580000,3647,0,187,11,445,93,77,353,0,4813,4383,91.10000000000001,2022
Salisbury (non-op),2590000,0,762,43,0,21,18,9,31,1,885,844,95.4,2022
Sandisfield (non-op),2600000,0,67,1,0,0,0,6,0,0,74,68,91.9,2022
Sandwich,2610000,2210,0,141,20,191,73,94,254,0,2983,2635,88.3,2022
Saugus,2620000,2544,0,177,37,132,12,38,377,0,3317,2902,87.5,2022
Savoy,2630000,26,0,7,0,2,11,3,0,0,49,46,93.9,2022
Scituate,2640000,2714,0,31,16,14,1,34,267,0,3077,2776,90.2,2022
Seekonk,2650000,2019,0,76,13,5,36,41,46,162,2398,2149,89.60000000000001,2022
Sharon,2660000,3476,0,26,7,24,1,62,261,7,3864,3534,91.5,2022
Sheffield (non-op),2670000,0,304,0,0,0,34,14,38,0,390,338,86.7,2022
Shelburne (non-op),2680000,0,120,11,0,7,16,10,26,0,190,154,81.10000000000001,2022
Sherborn,2690000,408,511,2,1,0,0,8,65,0,995,922,92.7,2022
Shirley,2700000,0,5,48,8,23,50,34,46,3,217,134,61.800000000000004,2022
Shrewsbury,2710000,5720,0,97,14,29,80,33,553,0,6526,5940,91.0,2022
Shutesbury,2720000,79,104,1,0,7,16,8,8,0,223,207,92.8,2022
Somerset,2730000,1586,679,147,29,16,75,53,58,10,2653,2532,95.4,2022
Somerville,2740000,4538,0,0,10,363,32,46,516,0,5505,4943,89.8,2022
South Hadley,2780000,1541,0,0,0,123,89,51,73,3,1880,1753,93.2,2022
Southampton,2750000,394,306,0,0,20,31,19,33,0,803,751,93.5,2022
Southborough,2760000,1146,480,22,2,5,22,18,237,0,1932,1677,86.8,2022
Southbridge,2770000,1733,0,187,14,140,217,52,116,0,2459,2291,93.2,2022
Southwick (non-op),2790000,0,1032,0,0,2,53,51,39,7,1184,1087,91.8,2022
Spencer (non-op),2800000,0,1047,128,14,56,108,53,30,0,1436,1353,94.2,2022
Springfield,2810000,22367,0,0,4,4475,671,154,984,26,28681,27517,95.9,2022
Sterling (non-op),2820000,0,912,61,1,16,17,65,74,0,1146,1007,87.9,2022
Stockbridge (non-op),2830000,0,111,0,0,0,12,4,20,0,147,123,83.7,2022
Stoneham,2840000,2139,0,90,8,152,28,31,283,0,2731,2417,88.5,2022
Stoughton,2850000,3346,0,101,16,161,55,44,198,0,3921,3679,93.8,2022
Stow (non-op),2860000,0,1084,55,0,15,24,28,48,0,1254,1178,93.9,2022
Sturbridge,2870000,789,603,154,6,18,30,68,45,0,1713,1600,93.4,2022
Sudbury,2880000,2382,1210,11,8,4,7,22,160,0,3804,3622,95.2,2022
Sunderland,2890000,166,112,6,0,8,28,12,22,0,354,320,90.4,2022
Sutton,2900000,1196,0,115,3,0,32,58,88,8,1500,1346,89.7,2022
Swampscott,2910000,1830,0,36,11,72,21,15,298,7,2290,1970,86.0,2022
Swansea,2920000,2014,0,148,8,16,36,25,71,51,2369,2222,93.8,2022
Taunton,2930000,7439,0,567,92,99,342,115,112,0,8766,8539,97.4,2022
Templeton (non-op),2940000,0,958,84,7,10,101,69,31,2,1262,1160,91.9,2022
Tewksbury,2950000,3027,0,359,29,62,36,25,289,6,3833,3513,91.7,2022
Tisbury,2960000,264,192,0,0,38,48,7,36,4,589,542,92.0,2022
Tolland (non-op),2970000,0,25,0,0,0,9,7,1,0,42,34,81.0,2022
Topsfield,2980000,579,472,27,2,0,9,23,126,2,1240,1089,87.8,2022
Townsend (non-op),2990000,0,1154,91,16,30,24,54,25,3,1397,1315,94.10000000000001,2022
Truro,3000000,68,0,9,0,1,114,0,1,1,194,192,99.0,2022
Tyngsborough,3010000,1513,0,91,10,83,39,23,100,48,1907,1736,91.0,2022
Tyringham (non-op),3020000,0,0,0,0,0,31,0,4,0,35,31,88.60000000000001,2022
Upton (non-op),3030000,0,1118,86,3,9,35,24,65,6,1346,1251,92.9,2022
Uxbridge,3040000,1458,0,123,6,0,155,78,113,9,1942,1742,89.7,2022
Wakefield,3050000,3221,0,122,4,76,16,28,12,7,3486,3439,98.7,2022
Wales,3060000,99,85,45,1,9,13,23,1,0,276,252,91.3,2022
Walpole,3070000,3581,0,82,8,34,46,31,451,7,4240,3751,88.5,2022
Waltham,3080000,5243,0,0,0,16,111,66,668,3,6107,5370,87.9,2022
Ware,3090000,1039,0,111,0,0,171,56,20,0,1397,1321,94.60000000000001,2022
Wareham,3100000,1834,0,224,25,98,219,73,131,4,2608,2400,92.0,2022
Warwick (non-op),3120000,0,16,7,0,1,8,13,1,0,46,32,69.60000000000001,2022
Washington (non-op),3130000,0,53,4,0,0,2,2,4,0,65,59,90.8,2022
Watertown,3140000,2465,0,35,5,12,27,50,457,0,3051,2544,83.4,2022
Wayland,3150000,2508,0,0,1,0,9,10,192,3,2723,2518,92.5,2022
Webster,3160000,1631,0,128,14,33,170,53,180,21,2230,1976,88.60000000000001,2022
Wellesley,3170000,3982,0,1,5,1,3,26,1290,5,5313,3992,75.10000000000001,2022
Wellfleet,3180000,113,143,13,4,4,33,3,0,0,313,310,99.0,2022
Wendell (non-op),3190000,0,88,6,1,9,8,11,5,0,128,112,87.5,2022
Wenham (non-op),3200000,0,538,8,0,0,8,14,160,0,728,554,76.10000000000001,2022
West Boylston,3220000,739,0,0,4,3,77,19,39,0,881,823,93.4,2022
West Bridgewater,3230000,1351,0,60,6,7,25,25,17,0,1491,1449,97.2,2022
West Newbury (non-op),3290000,0,492,14,5,20,15,20,75,2,643,546,84.9,2022
West Springfield,3320000,3732,0,0,0,77,57,110,189,0,4165,3866,92.8,2022
West Stockbridge (non-op),3330000,0,101,0,0,0,18,5,19,7,150,119,79.3,2022
West Tisbury (non-op),3340000,0,338,0,0,32,12,17,6,1,406,382,94.10000000000001,2022
Westborough,3210000,3690,0,44,2,11,21,36,146,3,3953,3768,95.3,2022
Westfield,3250000,4554,0,0,0,16,173,200,411,4,5358,4743,88.5,2022
Westford,3260000,4543,0,74,13,7,32,49,129,6,4853,4669,96.2,2022
Westhampton,3270000,73,80,0,0,4,11,0,16,0,184,168,91.3,2022
Westminster (non-op),3280000,0,1161,71,3,9,38,42,25,1,1350,1282,95.0,2022
Weston,3300000,1699,0,2,8,0,15,8,477,19,2228,1724,77.4,2022
Westport,3310000,1380,0,138,6,37,100,57,235,44,1997,1661,83.2,2022
Westwood,3350000,2826,0,5,6,0,20,18,303,0,3178,2857,89.9,2022
Weymouth,3360000,5267,0,1,60,291,99,40,665,0,6423,5718,89.0,2022
Whately,3370000,69,55,12,0,4,8,2,13,0,163,148,90.8,2022
Whitman (non-op),3380000,0,2096,115,13,39,32,45,67,1,2408,2295,95.3,2022
Wilbraham (non-op),3390000,0,2123,2,6,4,24,53,62,0,2274,2159,94.9,2022
Williamsburg,3400000,118,74,0,0,16,35,5,33,0,281,243,86.5,2022
Williamstown,3410000,0,665,19,0,8,11,19,45,10,777,703,90.5,2022
Wilmington,3420000,2788,0,319,21,6,14,33,296,1,3478,3148,90.5,2022
Winchendon,3430000,1129,0,107,17,15,109,74,0,0,1451,1377,94.9,2022
Winchester,3440000,4420,0,14,8,2,7,19,22,6,4498,4451,99.0,2022
Windsor (non-op),3450000,0,52,0,0,0,8,10,0,0,70,60,85.7,2022
Winthrop,3460000,1836,0,68,6,25,0,23,8,1,1967,1935,98.4,2022
Woburn,3470000,4213,0,139,36,41,45,61,308,0,4843,4474,92.4,2022
Worcester,3480000,22825,0,6,351,1970,452,318,1310,0,27232,25604,94.0,2022
Worthington (non-op),3490000,64,0,0,0,0,32,14,2,0,112,96,85.7,2022
Wrentham,3500000,839,771,68,7,59,16,33,150,31,1974,1760,89.2,2022
Yarmouth (non-op),3510000,0,1882,159,18,109,253,67,164,0,2652,2421,91.3,2022
State,0,687210,87541,29723,3879,43989,23050,13090,67579,1713,957774,875392,91.4,2022
